station_name,appearance,min_travel_dt,max_travel_dt,short_name,lon,lat
10th & E St NW,276743,2012-07-12 12:25:06,2023-02-28 22:25:57,31256,-77.026064,38.895914
10th & Florida Ave NW,155132,2013-10-09 08:55:15,2022-08-18 16:20:42,,-77.025672,38.920387
10th & G St NW,174632,2014-07-31 09:16:24,2023-02-28 22:57:36,31274,-77.02623546123505,38.89824328774852
10th & H St NE,16868,2021-11-30 15:35:45,2023-02-28 22:55:20,31672,-76.992725,38.899984
10th & K St NW,312738,2013-02-15 09:38:04,2023-02-28 23:41:43,31263,-77.02622,38.9024
10th & Monroe St NE,71718,2010-10-16 13:55:15,2023-02-28 22:55:44,31504,-76.99353396892548,38.932456900063606
10th & Quincy St NE / Turkey Thicket Rec,233,2023-01-27 18:12:22,2023-02-28 22:39:14,31541,-76.993509,38.937849
10th & Rhode Island Ave NE,2,2022-08-18 14:50:08,2022-08-18 15:31:24,,-76.992741,38.922489
10th & U St NW,347250,2010-09-20 12:16:36,2023-03-01 08:21:13,31111,-77.0259,38.9172
10th St & Constitution Ave NW,399644,2010-10-07 15:42:27,2023-02-28 20:17:55,31219,-77.026013,38.893028
10th St & Florida Ave NW,12564,2022-08-18 16:31:42,2023-02-28 23:28:13,31120,-77.025672,38.920387
10th St & L'Enfant Plaza SW,83461,2016-05-19 09:41:46,2023-03-01 11:48:12,31287,-77.02601015567778,38.88432272414662
10th St & Rhode Island Ave NE,1120,2022-08-18 17:05:02,2023-02-28 20:49:37,31535,-76.99267029762268,38.92248919793601
11th & C St SE,45396,2019-01-10 16:40:27,2023-02-28 23:52:44,31659,-76.991476,38.885908
11th & Clifton St NW,5036,2022-08-23 15:24:01,2023-02-28 19:52:39,31136,-77.02708572149277,38.9223243445331
11th & F St NW,196233,2010-10-26 19:26:00,2023-02-28 22:01:36,31262,-77.026975,38.897857
11th & Girard St NW,131173,2017-06-08 12:01:45,2023-03-01 00:04:58,31126,-77.027112,38.925636
11th & H St NE,198329,2011-12-12 18:11:40,2021-11-30 06:55:59,,-76.991,38.899
11th & Kenyon St NW,326250,2010-10-08 14:05:09,2023-02-28 23:33:05,31102,-77.027822,38.929464
11th & M St NW,426480,2010-10-28 16:36:27,2023-02-28 23:20:52,31266,-77.027313,38.9055785
11th & O St NW,176590,2016-05-19 14:06:02,2023-02-28 23:55:06,31286,-77.02708840370178,38.90843146089006
11th & Park Rd NW,69546,2018-09-26 14:52:26,2023-02-28 22:28:50,31651,-77.02824711799622,38.93132185874559
11th & S St NW,178782,2015-04-08 14:20:32,2023-02-28 23:15:08,31280,-77.02711522579193,38.913601175143924
11th & V St NW,6036,2022-09-29 12:18:14,2023-02-28 23:32:23,31332,-77.027171,38.918199
11th & V st NW,16071,2021-10-07 15:44:57,2022-09-29 09:38:59,,-77.027,38.918
12th & Army Navy Dr,63571,2010-09-21 09:37:21,2019-01-03 09:23:14,,-77.054,38.862
12th & Irving St NE,42909,2013-05-30 11:53:41,2023-02-28 20:36:19,31511,-76.990955,38.928644
12th & L St NW,293293,2012-06-25 16:55:19,2023-02-28 22:49:45,31251,-77.0284,38.903819
12th & Newton St NE,32661,2010-10-05 17:54:28,2023-02-28 20:42:58,31501,-76.991016,38.933668
12th & U St NW,303061,2013-06-14 13:29:45,2023-02-28 23:01:46,31268,-77.028139,38.916787
12th & Varnum St NE,12,2023-02-23 14:25:46,2023-02-28 17:19:01,31542,-76.990157,38.943596
12th St & New York Ave NW,673,2023-02-07 12:49:27,2023-02-28 22:15:09,31670,-77.028061,38.901104
12th St & Pennsylvania Ave SE,59744,2016-12-15 13:54:41,2023-02-28 22:23:13,31644,-76.990121,38.882489
1301 McCormick Dr / Wayne K. Curry Admin Bldg,1063,2018-06-06 17:03:30,2023-02-10 19:09:50,32400,-76.843263,38.908391
13th & D St NE,279078,2010-10-26 17:18:05,2023-02-28 23:04:26,31622,-76.987633,38.894832
13th & E St SE,32647,2018-06-01 02:27:03,2023-02-28 21:34:24,31607,-76.98790669441223,38.88291548476762
13th & H St NE,314070,2010-10-09 13:32:25,2023-02-28 23:53:45,31611,-76.98825001716614,38.90042673988099
13th & U St NW,56045,2020-09-02 13:39:59,2023-02-28 23:43:15,31132,-77.0296311378479,38.91693645323652
13th St & Eastern Ave,14830,2013-04-25 17:28:25,2023-02-28 15:36:45,32006,-77.029417,38.987
13th St & New York Ave NW,341503,2010-10-18 14:08:38,2023-02-28 23:21:15,31227,-77.029822,38.900283
14th & Belmont St NW,280796,2013-10-02 09:10:58,2023-02-28 23:12:56,31119,-77.031887,38.921074
14th & D St NW / Ronald Reagan Building,374515,2011-04-20 10:03:51,2023-03-01 22:36:05,31231,-77.031617,38.894514
14th & D St SE,176527,2010-09-22 15:32:50,2023-02-28 22:38:48,31663,-76.9863852,38.8840581
14th & G St NW,355124,2010-11-08 16:15:38,2023-02-28 20:30:10,31238,-77.03189760446548,38.89816396413188
14th & Girard St NW,84001,2016-05-05 12:30:25,2023-02-28 23:10:18,31123,-77.032375,38.925284
14th & Harvard St NW,264693,2010-09-20 12:30:56,2023-02-28 22:39:59,31105,-77.0322,38.9268
14th & Irving St NW,250250,2016-08-02 13:21:18,2023-02-28 23:28:53,31124,-77.032224,38.928552
14th & L St NW,161547,2016-04-05 09:09:06,2023-02-28 22:43:45,31283,-77.031737,38.903658
14th & Luzon St NW,8401,2018-09-14 13:52:52,2022-09-02 08:13:56,,-77.033,38.969
14th & Newton St NW,70460,2018-09-13 12:08:11,2023-02-28 22:54:47,31649,-77.032956,38.931991
14th & Otis Pl NW,47692,2019-08-07 13:30:22,2023-02-28 23:27:20,31131,-77.032687,38.934405
14th & Q St NW,62999,2020-08-13 14:23:09,2023-02-28 22:21:49,31327,-77.03188,38.910674
14th & R St NW,551056,2010-09-20 13:53:23,2023-02-28 23:49:36,31202,-77.032008,38.913046
14th & Rhode Island Ave NW,605294,2010-09-20 15:53:15,2023-03-02 13:08:30,,-77.032,38.908
14th & U St NW,4380,2019-03-01 01:31:48,2019-04-01 07:25:08,,-77.034,38.917
14th & Upshur St NW,69613,2013-04-12 17:36:55,2023-02-28 21:39:53,31406,-77.03267812728882,38.942475355602845
14th & V St NW,732463,2010-09-20 12:39:24,2023-02-28 23:18:03,31101,-77.032096,38.9177645
14th St & Colorado Ave NW,52134,2013-04-12 16:37:01,2023-02-28 23:41:33,31407,-77.032947,38.956432
14th St & Luzon Ave NW,1165,2022-09-02 15:12:49,2023-02-28 22:18:12,31416,-77.033509,38.969489
14th St & New York Ave NW,271493,2010-09-30 09:03:13,2023-02-28 21:01:50,31216,-77.031686,38.899632
14th St & Spring Rd NW,199378,2010-09-20 19:14:22,2023-02-28 23:47:14,31401,-77.0328,38.9375
14th St Heights / 14th & Crittenden St NW,43056,2010-09-26 21:42:43,2023-02-28 16:28:09,31402,-77.032818,38.947774
15th & Crystal Dr,64759,2010-09-20 12:52:50,2018-07-31 23:42:49,,-77.051,38.86
15th & East Capitol St NE,131929,2013-05-14 13:09:29,2023-02-28 20:51:08,31630,-76.983326,38.889908
15th & Euclid St  NW,192608,2013-05-06 12:44:47,2021-08-09 13:30:33,,-77.037,38.923
15th & Euclid St NW,25618,2020-04-01 08:14:11,2023-02-28 23:52:31,31117,-77.0352,38.92333
15th & F St NE,124722,2013-05-30 12:13:26,2023-02-28 22:55:18,31632,-76.983575,38.897195
15th & Harvard St NW,8692,2020-04-01 08:58:06,2022-01-19 07:40:16,,-77.035,38.926
15th & K St NW,246688,2012-07-02 09:38:21,2023-02-28 21:33:59,31254,-77.03353,38.902
15th & L St NW,195156,2014-10-07 13:55:25,2023-02-28 21:04:45,31276,-77.034918,38.903649
15th & M St NW,149594,2017-06-01 11:57:03,2023-02-28 23:06:21,31298,-77.034674,38.905424
15th & N Scott St,41752,2012-04-25 19:52:55,2019-02-28 23:27:28,,-77.083,38.891
15th & P St NW,944642,2010-09-20 12:34:17,2023-02-28 23:11:40,31201,-77.03442692756653,38.90980062655191
15th & W St NW,221768,2017-01-05 13:12:19,2023-02-28 22:16:22,31125,-77.034449,38.9190185
15th St & Constitution Ave NW,234328,2017-06-22 11:08:03,2023-02-28 21:22:40,31321,-77.033234,38.892244
15th St & Massachusetts Ave SE,166277,2011-12-22 17:23:37,2023-02-28 22:19:39,31626,-76.983569,38.88732
15th St & N Scott St,17811,2019-03-01 08:39:22,2023-02-28 23:12:25,31031,-77.08095,38.89054
